i,j,corr
5,42,-0.10590426629983386
5,43,-0.20318079959682914
5,44,-0.0316852091340857
5,45,0.050684241680556616
5,46,0.1840624216291375
5,47,-0.14804603048036305
5,48,-0.11168687613825148
5,49,0.043548968456007586
5,50,0.24025272748254645
5,51,0.05468277674560127
5,52,0.029081265363350452
5,53,0.09920072838009433
5,54,0.03073703381457563
5,55,-0.04488200387926157
5,56,-0.0588399006363044
5,57,-0.06786975232473882
5,58,-0.0020084940239829983
5,59,0.17270601540796948
5,60,0.008151736881150026
5,61,-0.09095146679210464
5,62,0.1615386913720267
5,63,0.0086163913891125
6,7,-0.056323901052805374
6,8,0.026280129249422093
6,9,-0.08811998985808134
6,10,0.009931690666506858
6,11,0.0959454967502061
6,12,-0.0870385046704004
6,13,0.02009222555658408
6,14,0.1259853904975261
6,15,0.14369789491290413
6,16,-0.021223576796946055
6,17,0.028980078666281908
6,18,0.037545959033619986
6,19,0.06857751099608224
6,20,0.0391135188700307
6,21,0.06081861528036905
6,22,0.012789886419314115
6,23,-0.021709266358043076
6,24,0.06623236677924733
6,25,-0.08827540936455056
6,26,0.1216188098765671
6,27,0.03216692054584164
6,28,0.021497473243515083
6,29,0.03902802008584913
6,30,-0.012973122988917316
6,31,0.001336666549885984
6,32,-0.018804207787624306
6,33,-0.036281167922073226
6,34,0.021421593087114173
6,35,0.10838346438442593
6,36,0.09461457185649433
6,37,0.012713127627876982
6,38,0.059430507522403905
6,39,-0.01240998901815314
6,40,0.10834315092804117
6,41,0.030691589334391926
6,42,0.028249132112650597
6,43,-0.07130013797596471
6,44,0.07654298066089289
6,45,0.0018144549888790913
6,46,0.03301145676414397
6,47,-0.05714684677633872
6,48,-0.015031302708400833
